PLAYER,TEAM,Isolation,P&R Handler,P&R Roll,Transition,Post Up,Spot Up,HandOff,Cut,Season,Cluster
Gordon Hayward,BOS,0.063,0.268,0.02,0.153,0.017,0.19,0.079,0.057,2020,1
Dejounte Murray,SAS,0.095,0.313,0.0,0.211,0.0,0.224,0.023,0.023,2020,1
Rudy Gay,SAS,0.106,0.106,0.059,0.138,0.088,0.337,0.024,0.027,2020,5
Kevin Porter jr.,CLE,0.136,0.262,0.0,0.185,0.0,0.183,0.065,0.057,2020,1
Fred Vanvleet,TOR,0.076,0.318,0.0,0.25,0.0,0.164,0.046,0.014,2020,4
Kyle Lowry,TOR,0.061,0.28,0.017,0.286,0.0,0.13,0.044,0.012,2020,1
Jaren Jackson jr.,MEM,0.064,0.022,0.114,0.133,0.125,0.253,0.05,0.059,2020,5
Tristan Thompson,CLE,0.085,0.0,0.202,0.065,0.112,0.081,0.0,0.188,2020,2
Karl-Anthony Towns,MIN,0.06,0.018,0.172,0.09,0.203,0.179,0.027,0.042,2020,3
Tim Hardaway jr.,DAL,0.064,0.19,0.021,0.159,0.01,0.301,0.056,0.02,2020,1
Goran Dragic,MIA,0.048,0.393,0.0,0.155,0.0,0.161,0.122,0.034,2020,4
Aaron Holiday,IND,0.077,0.348,0.0,0.177,0.0,0.243,0.07,0.0,2020,4
Bogdan Bogdanovic,SAC,0.059,0.248,0.0,0.14,0.015,0.243,0.097,0.034,2020,1
Kyle Kuzma,LAL,0.096,0.104,0.033,0.198,0.045,0.28,0.03,0.058,2020,0
Eric Gordon,HOU,0.09,0.133,0.026,0.199,0.0,0.303,0.088,0.026,2020,1
Ben Simmons,PHI,0.052,0.15,0.035,0.297,0.113,0.045,0.012,0.139,2020,1
Mike Conley,UTA,0.061,0.457,0.0,0.115,0.0,0.18,0.061,0.0,2020,4
Alec Burks,GSW,0.071,0.358,0.0,0.127,0.039,0.132,0.097,0.036,2020,4
Andre Drummond,CLE,0.063,0.0,0.167,0.101,0.157,0.064,0.0,0.158,2020,3
Will Barton,DEN,0.064,0.295,0.0,0.218,0.0,0.183,0.067,0.052,2020,1
Coby White,CHI,0.059,0.344,0.0,0.187,0.0,0.248,0.075,0.0,2020,1
Kevin Love,CLE,0.052,0.024,0.111,0.093,0.213,0.196,0.057,0.042,2020,5
T.J. Warren,IND,0.044,0.183,0.0,0.201,0.029,0.218,0.056,0.089,2020,1
Marcus Smart,BOS,0.062,0.248,0.022,0.17,0.038,0.268,0.038,0.032,2020,1
Darius Garland,CLE,0.065,0.416,0.0,0.117,0.0,0.188,0.097,0.011,2020,4
OG Anunoby,TOR,0.026,0.048,0.025,0.246,0.051,0.349,0.022,0.108,2020,0
